Date/Time,EURUSD,GBPUSD,EURGBP,AUDUSD,USDMXN,USDJPY
20090727,1.423,1.6486,0.8632,0.8225,13.2605,95.18
20090728,1.4167,1.64265,0.86225,0.82665,13.1969,94.54
20090729,1.40485,1.63775,0.85765,0.81705,13.2484,94.98
20090730,1.4075,1.64935,0.85325,0.82555,13.2595,95.55
20090731,1.4257,1.6714,0.85295,0.8357,13.1855,94.66
20090803,1.44125,1.6926,0.8512,0.84185,13.0934,95.26
20090804,1.4407,1.6938,0.8505,0.8442,13.1189,95.22
20090805,1.44035,1.6988,0.84775,0.8404,13.0328,94.95
20090806,1.4345,1.67825,0.8548,0.83935,13.0265,95.45
20090807,1.41825,1.6682,0.85,0.83695,12.9428,97.545
20090810,1.41405,1.64815,0.8578,0.83725,12.9185,97.14
20090811,1.4148,1.6478,0.8586,0.829,13.0192,95.98
20090812,1.41865,1.6479,0.8607,0.83355,12.9544,96.035
20090813,1.4291,1.65805,0.8618,0.8425,12.8647,95.475
20090814,1.4201,1.65395,0.8582,0.8324,12.834,94.9
20090817,1.4082,1.63465,0.8613,0.8204,13.0039,94.495
20090818,1.41355,1.6557,0.85355,0.8266,12.9201,94.68
20090819,1.4224,1.65275,0.8605,0.8286,12.8778,94.07
20090820,1.4253,1.6505,0.8634,0.83125,12.8774,94.19
20090821,1.4325,1.6504,0.868,0.83455,12.8244,94.39
20090824,1.4303,1.64145,0.87105,0.8387,12.929,94.55
20090825,1.4297,1.63505,0.87435,0.83545,12.9943,94.18
20090826,1.4255,1.62475,0.8771,0.82815,13.1546,94.245
20090827,1.43405,1.6281,0.88045,0.839,13.2271,93.51
20090828,1.43015,1.6266,0.87895,0.8405,13.244,93.59
20090831,1.43325,1.6287,0.88,0.8438,13.36,93.115
20090901,1.4224,1.61565,0.8801,0.8259,13.6712,92.915
20090902,1.4263,1.6271,0.87635,0.8336,13.6452,92.2
20090903,1.4251,1.6318,0.87315,0.8402,13.5334,92.62
20090904,1.4294,1.63905,0.8721,0.8503,13.3524,92.99
20090907,1.4332,1.6348,0.8766,0.8555,13.3417,93.075
20090908,1.44765,1.6487,0.878,0.86135,13.3486,92.315
20090909,1.4556,1.65465,0.8797,0.86215,13.4551,92.03
20090910,1.4581,1.6652,0.87565,0.86385,13.3595,91.73
20090911,1.457,1.6655,0.8747,0.8632,13.3305,90.705
20090914,1.4617,1.65825,0.8814,0.8621,13.3671,90.935
20090915,1.46565,1.6488,0.88885,0.86325,13.2848,91.035
20090916,1.4709,1.6493,0.89225,0.8734,13.187,90.925
20090917,1.4741,1.6453,0.896,0.87255,13.2711,91.085
20090918,1.471,1.627,0.90405,0.86725,13.2714,91.28
20090921,1.4679,1.6216,0.90515,0.86285,13.3758,91.92
20090922,1.47905,1.6357,0.9039,0.87335,13.3335,91.09
20090923,1.4734,1.63405,0.9016,0.8696,13.3655,91.27
20090924,1.4665,1.6062,0.91285,0.8648,13.5029,91.255
20090925,1.4688,1.59495,0.92075,0.8676,13.5592,89.59
