Date,Dealers Long,Dealers Short,Managed Money Long,Managed Money Short
2009-09-01,55534.0,18535.0,22643.0,21741.0
2009-09-08,56361.0,19138.0,23106.0,19637.0
2009-09-15,56517.0,18192.0,21040.0,19972.0
2009-09-22,57188.0,18187.0,19009.0,19256.0
2009-09-29,57878.0,17511.0,16298.0,20190.0
2009-10-06,59623.0,17243.0,18466.0,20948.0
2009-10-13,58863.0,18845.0,19813.0,18860.0
2009-10-20,60675.0,19098.0,27199.0,21925.0
2009-10-27,61783.0,19726.0,31745.0,18342.0
2009-11-03,61616.0,18979.0,32606.0,20538.0
2009-11-09,62081.0,8133.0,32605.0,23488.0
2009-11-17,64562.0,8410.0,38864.0,27314.0
2009-11-24,64057.0,7878.0,40408.0,27456.0
2009-12-01,64769.0,7314.0,40865.0,27952.0
2009-12-08,64196.0,7058.0,42485.0,28369.0
2009-12-15,64468.0,6508.0,39995.0,29438.0
2009-12-22,64720.0,6196.0,37265.0,29411.0
2009-12-29,64537.0,7056.0,44847.0,28839.0
2010-01-05,64352.0,7729.0,45703.0,28631.0
2010-01-12,53363.0,8785.0,46290.0,23198.0
2010-01-19,46345.0,8805.0,45009.0,16438.0
2010-01-26,44874.0,8847.0,43187.0,13180.0
2010-02-02,46189.0,7711.0,33044.0,16462.0
2010-02-09,46264.0,7004.0,29581.0,17091.0
2010-02-16,46245.0,6815.0,30696.0,16868.0
2010-02-23,46348.0,6613.0,32754.0,14552.0
2010-03-02,47732.0,6057.0,33356.0,13721.0
2010-03-09,48057.0,7505.0,36197.0,13813.0
2010-03-16,47984.0,7520.0,36898.0,14102.0
2010-03-23,48369.0,7932.0,36665.0,14471.0
2010-03-30,48240.0,9063.0,41665.0,13384.0
2010-04-06,49649.0,10704.0,44918.0,15123.0
2010-04-13,49561.0,10836.0,47900.0,18165.0
2010-04-20,49780.0,10025.0,44612.0,19027.0
2010-04-27,49648.0,9807.0,41393.0,19012.0
2010-05-04,49404.0,7424.0,36192.0,20506.0
2010-05-11,49433.0,6911.0,30620.0,16418.0
2010-05-18,48727.0,6247.0,29369.0,17264.0
2010-05-25,49528.0,5832.0,26699.0,18278.0
2010-06-01,49471.0,5966.0,27075.0,18194.0
2010-06-08,49770.0,5708.0,26353.0,23740.0
2010-06-15,49746.0,5696.0,26181.0,23418.0
2010-06-22,50171.0,5774.0,26258.0,23427.0
2010-06-29,49631.0,5558.0,25870.0,20655.0
2010-07-06,48599.0,6014.0,25998.0,21010.0
2010-07-13,48884.0,6270.0,26262.0,19248.0
2010-07-20,49262.0,5719.0,26893.0,20157.0
2010-07-27,49365.0,5743.0,29773.0,15233.0
2010-08-03,51525.0,6437.0,32336.0,15149.0
2010-08-10,51637.0,6093.0,34757.0,13916.0
2010-08-17,50453.0,5903.0,35782.0,16498.0
2010-08-24,50072.0,5650.0,31565.0,16702.0
2010-08-31,48437.0,5852.0,34577.0,15094.0
2010-09-07,47837.0,6649.0,37055.0,13068.0
2010-09-14,48464.0,6931.0,37292.0,13740.0
2010-09-21,47384.0,6473.0,38554.0,14117.0
2010-09-28,47515.0,7022.0,42777.0,13609.0
2010-10-05,48632.0,8399.0,45546.0,14037.0
2010-10-12,48622.0,9648.0,47223.0,14666.0
2010-10-19,48868.0,10758.0,47549.0,14730.0
2010-10-26,49450.0,11549.0,47373.0,14695.0
2010-11-02,49437.0,11784.0,45388.0,13780.0
2010-11-09,50362.0,13395.0,47578.0,12480.0
2010-11-16,50285.0,12918.0,42984.0,12297.0
2010-11-23,50533.0,12498.0,39563.0,13315.0
2010-11-30,50623.0,11281.0,40880.0,13827.0
2010-12-07,51466.0,12330.0,45906.0,13249.0
2010-12-14,50898.0,12893.0,49597.0,13400.0
2010-12-21,51246.0,13566.0,51615.0,13011.0
2010-12-28,51511.0,13578.0,53134.0,14029.0
