Date,Dealers Long,Dealers Short,Managed Money Long,Managed Money Short
2009-12-01,238403.0,104345.0,165428.0,40960.0
2009-12-08,248079.0,105996.0,154348.0,52605.0
2009-12-15,271083.0,99817.0,158633.0,65420.0
2009-12-22,263686.0,89917.0,158885.0,49829.0
2009-12-29,249809.0,100548.0,172733.0,39194.0
2010-01-05,246155.0,120814.0,194643.0,39868.0
2010-01-12,229818.0,128905.0,217292.0,41673.0
2010-01-19,230685.0,128205.0,214738.0,37734.0
2010-01-26,241765.0,120578.0,179142.0,45987.0
2010-02-02,264833.0,122257.0,169012.0,47938.0
2010-02-09,288269.0,111642.0,153244.0,64423.0
2010-02-16,279712.0,120643.0,165827.0,45386.0
2010-02-23,262892.0,128001.0,180790.0,48286.0
2010-03-02,256984.0,133675.0,189727.0,45669.0
2010-03-09,254925.0,145706.0,202787.0,43387.0
2010-03-16,242830.0,146691.0,213617.0,43198.0
2010-03-23,254240.0,146890.0,202575.0,45000.0
2010-03-30,256073.0,152086.0,212058.0,42580.0
2010-04-06,244449.0,159665.0,235370.0,48638.0
2010-04-13,243548.0,163152.0,223408.0,47904.0
2010-04-20,249454.0,153713.0,212485.0,45466.0
2010-04-27,248770.0,162416.0,198047.0,51117.0
2010-05-04,251016.0,167047.0,206198.0,51216.0
2010-05-11,268330.0,157435.0,203191.0,69749.0
2010-05-18,281279.0,155782.0,191272.0,102858.0
2010-05-25,311882.0,146681.0,183241.0,107385.0
2010-06-01,319892.0,139364.0,179759.0,113931.0
2010-06-08,312926.0,125645.0,178229.0,110586.0
2010-06-15,304516.0,121819.0,177653.0,86387.0
2010-06-22,289288.0,127302.0,172121.0,93088.0
2010-06-29,291477.0,124082.0,168457.0,94241.0
2010-07-06,292171.0,130275.0,158544.0,103428.0
2010-07-13,309830.0,129874.0,170128.0,84166.0
2010-07-20,309387.0,138540.0,169153.0,71681.0
2010-07-27,307907.0,140813.0,169376.0,61660.0
2010-08-03,308789.0,151711.0,192383.0,58719.0
2010-08-10,298861.0,153704.0,186497.0,57595.0
2010-08-17,302235.0,154226.0,181310.0,72436.0
2010-08-24,315962.0,146374.0,176794.0,103319.0
2010-08-31,317555.0,144575.0,188932.0,117437.0
2010-09-07,316278.0,155115.0,187178.0,109633.0
2010-09-14,295153.0,161376.0,205423.0,91663.0
2010-09-21,284765.0,166237.0,196753.0,99820.0
2010-09-28,269126.0,169273.0,203694.0,96578.0
2010-10-05,243886.0,204547.0,233918.0,68805.0
2010-10-12,232387.0,224957.0,237596.0,62761.0
2010-10-19,248397.0,222784.0,223112.0,72431.0
2010-10-26,247130.0,221673.0,233907.0,67849.0
2010-11-02,253711.0,233709.0,249649.0,71897.0
2010-11-09,243129.0,244679.0,258393.0,69391.0
2010-11-16,219433.0,257113.0,242305.0,71913.0
2010-11-23,229665.0,253339.0,220089.0,93184.0
2010-11-30,218879.0,254844.0,223158.0,71093.0
2010-12-07,215858.0,267008.0,256833.0,65662.0
2010-12-14,219864.0,247981.0,249262.0,56214.0
2010-12-21,223961.0,249498.0,251181.0,56877.0
2010-12-28,218521.0,249434.0,258539.0,56318.0
2011-01-04,219484.0,260417.0,243095.0,67233.0
2011-01-11,227153.0,270790.0,253290.0,57635.0
2011-01-18,217685.0,271663.0,248173.0,56970.0
2011-01-25,225710.0,261170.0,217026.0,61539.0
2011-02-01,232482.0,262525.0,239160.0,62712.0
2011-02-08,233977.0,277031.0,230615.0,52183.0
2011-02-15,237017.0,257306.0,218807.0,55137.0
2011-02-22,227112.0,268477.0,249629.0,43606.0
2011-03-01,214304.0,287084.0,293884.0,25262.0
2011-03-08,208857.0,281628.0,301202.0,26967.0
2011-03-15,209300.0,283077.0,283647.0,32267.0
2011-03-22,219866.0,288349.0,281134.0,28916.0
2011-03-29,220575.0,292573.0,293308.0,31549.0
2011-04-05,219135.0,294665.0,296342.0,28803.0
2011-04-12,218316.0,295097.0,279198.0,27951.0
2011-04-19,213452.0,291553.0,296915.0,37904.0
2011-04-26,210269.0,293146.0,296609.0,33373.0
2011-05-03,210820.0,292863.0,295640.0,36972.0
2011-05-10,233911.0,277388.0,280900.0,47331.0
2011-05-17,246333.0,267767.0,249943.0,37935.0
2011-05-24,252236.0,264818.0,251438.0,38498.0
2011-05-31,239502.0,262899.0,246234.0,40407.0
2011-06-07,244304.0,261121.0,236116.0,57899.0
2011-06-14,244785.0,260665.0,240024.0,56911.0
2011-06-21,253614.0,243241.0,228586.0,66396.0
2011-06-28,262671.0,242267.0,223022.0,73018.0
2011-07-05,253436.0,241531.0,224114.0,64473.0
2011-07-12,249215.0,246445.0,228578.0,66290.0
2011-07-19,248381.0,248315.0,237123.0,65733.0
2011-07-26,247217.0,256748.0,244362.0,64349.0
2011-08-02,246018.0,246840.0,234663.0,77524.0
2011-08-09,256007.0,236044.0,227268.0,80156.0
2011-08-16,251361.0,221689.0,226918.0,78323.0
2011-08-23,243994.0,215316.0,218941.0,80170.0
2011-08-30,233701.0,218547.0,221311.0,65583.0
2011-09-06,231704.0,224856.0,224199.0,70072.0
2011-09-13,219940.0,223191.0,228362.0,59564.0
2011-09-20,222968.0,229200.0,217699.0,64824.0
2011-09-27,223854.0,216404.0,215424.0,73890.0
2011-10-04,223686.0,210510.0,211402.0,85309.0
2011-10-11,222021.0,213350.0,210780.0,63332.0
2011-10-18,230748.0,226416.0,219391.0,60870.0
2011-10-25,209820.0,236154.0,237254.0,53107.0
2011-11-01,203259.0,245451.0,229279.0,49434.0
2011-11-08,205963.0,253176.0,235730.0,47549.0
2011-11-15,226642.0,262930.0,230682.0,38886.0
2011-11-22,214000.0,269910.0,210899.0,44866.0
2011-11-29,209706.0,267472.0,212820.0,39425.0
2011-12-06,206456.0,272145.0,210754.0,36431.0
2011-12-13,206265.0,265119.0,219394.0,45013.0
2011-12-20,214757.0,263122.0,197370.0,46066.0
2011-12-27,209091.0,267828.0,210113.0,44608.0
2012-01-03,200791.0,273712.0,216478.0,46447.0
2012-01-10,187587.0,284336.0,213674.0,39589.0
2012-01-17,177496.0,294773.0,204567.0,40397.0
2012-01-24,172054.0,291764.0,211106.0,35729.0
2012-01-31,175188.0,290988.0,212097.0,39176.0
2012-02-07,165410.0,287662.0,211129.0,37660.0
2012-02-14,142467.0,292089.0,236010.0,33788.0
2012-02-21,126041.0,306330.0,247891.0,32089.0
2012-02-28,122631.0,329475.0,261729.0,33337.0
2012-03-06,125030.0,323802.0,255274.0,45739.0
2012-03-13,131223.0,334444.0,263258.0,51326.0
2012-03-20,131239.0,327819.0,251223.0,47532.0
2012-03-27,137253.0,326757.0,243905.0,46509.0
2012-04-03,141239.0,315647.0,227856.0,48355.0
