Date,EUR_CA
2015Feb,26360
2015Jan,30405
2014Dec,20853
2014Nov,21143
2014Oct,22873
2014Sep,24649
2014Aug,15614
2014Jul,16479
2014Jun,14602
2014May,15773
2014Apr,15750
2014Mar,16358
2014Feb,15954
2014Jan,16778
2013Dec,16773
2013Nov,18633
2013Oct,14323
2013Sep,13060
2013Aug,13609
2013Jul,9569
2013Jun,17993
2013May,18903
2013Apr,14144
2013Mar,21606
2013Feb,15304
2013Jan,9973
2012Dec,13386
2012Nov,12603
2012Oct,7865
2012Sep,14237
2012Aug,15406
2012Jul,13876
2012Jun,17254
2012May,7833
2012Apr,4851
2012Mar,5014
2012Feb,1399
2012Jan,4939
2011Dec,6639
2011Nov,4998
2011Oct,913
2011Sep,2914
2011Aug,2149
2011Jul,-4183
2011Jun,360
2011May,-208
2011Apr,-128
2011Mar,-2897
2011Feb,-2875
2011Jan,-2108
2010Dec,-3381
2010Nov,1372
2010Oct,4331
2010Sep,1623
2010Aug,1252
2010Jul,2539
2010Jun,-2319
2010May,-2801
2010Apr,2907
2010Mar,-2057
2010Feb,2414
2010Jan,-60
2009Dec,3733
2009Nov,577
2009Oct,650
2009Sep,-2519
2009Aug,543
2009Jul,7547
2009Jun,-2597
2009May,-525
2009Apr,-5277
2009Mar,-3885
2009Feb,-6390
2009Jan,-8971
2008Dec,-7630
2008Nov,-21222
2008Oct,-12350
2008Sep,-11143
2008Aug,-15673
2008Jul,-13451
2008Jun,-10839
2008May,-10945
2008Apr,-7922
2008Mar,-13048
2008Feb,-10269
2008Jan,-19994
2007Dec,-13996
2007Nov,-7151
2007Oct,-3878
2007Sep,3658
2007Aug,751
2007Jul,1038
2007Jun,9399
2007May,2224
2007Apr,4726
2007Mar,5263
2007Feb,-4061
2007Jan,5338
2006Dec,1209
2006Nov,3462
2006Oct,291
2006Sep,926
2006Aug,-2450
2006Jul,-4630
2006Jun,-1943
2006May,-3444
2006Apr,-1958
2006Mar,-5671
2006Feb,-5752
2006Jan,-681
2005Dec,-5284
2005Nov,-6206
2005Oct,-3144
2005Sep,-1142
2005Aug,-5657
2005Jul,-477
2005Jun,-1533
2005May,-160
2005Apr,-2329
2005Mar,1273
2005Feb,3853
2005Jan,-2278
2004Dec,6699
2004Nov,719
2004Oct,5907
2004Sep,1235
2004Aug,1825
2004Jul,5082
2004Jun,5179
2004May,6836
2004Apr,9730
2004Mar,7666
2004Feb,5801
2004Jan,4549
2003Dec,2524
2003Nov,2137
2003Oct,3943
2003Sep,1073
2003Aug,1985
2003Jul,-1150
2003Jun,1425
2003May,42
2003Apr,-2510
2003Mar,1308
2003Feb,-102
2003Jan,-84
2002Dec,1649
2002Nov,6628
2002Oct,-251
2002Sep,4441
2002Aug,4942
2002Jul,3321
2002Jun,6894
2002May,3596
2002Apr,-1199
2002Mar,1628
2002Feb,1391
2002Jan,2814
2001Dec,6608
2001Nov,-1695
2001Oct,384
2001Sep,-4651
2001Aug,-3084
2001Jul,-6463
2001Jun,-15658
2001May,-15885
2001Apr,-20586
2001Mar,-9092
2001Feb,-6089
2001Jan,-8130
2000Dec,-14604
2000Nov,-14440
2000Oct,-13246
2000Sep,-13473
2000Aug,-17133
2000Jul,-14836
2000Jun,-15424
2000May,-15726
2000Apr,-18631
2000Mar,-13912
2000Feb,-15605
2000Jan,-13579
1999Dec,-13281
1999Nov,-14143
1999Oct,-10415
1999Sep,-11240
1999Aug,-9044
1999Jul,-6368
1999Jun,-6252
1999May,-8461
1999Apr,-5524
1999Mar,-14406
1999Feb,-14445
1999Jan,-15882
