,US_PCE,UK_CPI,EUR_CPI,JP_CPI,US_GDP_Q,UK_GDP_Q,EUR_GDP_Q,JP_GDP_A,US_CP,US_ER,UK_ER,ITA_ER,FRA_ER,GER_ER,JP_ER,US_M2,UK_M2,GER_M2,ITA_M2,FRA_M2,JP_M2,US_CA,UK_CA,GER_CA,ITA_CA,FRA_CA,JP_CA,US_LF,UK_LF,GER_LF,ITA_LF,FRA_LF,JP_LF,US_POP,UK_POP,GER_POP,ITA_POP,FRA_POP,JP_POP,US_POP_65,UK_POP_65,GER_POP_65,ITA_POP_65,FRA_POP_65,JP_POP_65
1947-01-01,,,,,243.1,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-04-01,,,,,246.3,,,,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-07-01,,,,,250.1,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-10-01,,,,,260.3,,,,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-01-01,,,,,266.2,,,,23.6,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-02-01,,,,,,,,,,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-03-01,,,,,,,,,,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-04-01,,,,,272.9,,,,24.8,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-05-01,,,,,,,,,,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-06-01,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-07-01,,,,,279.5,,,,24.4,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-08-01,,,,,,,,,,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-09-01,,,,,,,,,,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-10-01,,,,,280.7,,,,23.5,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-11-01,,,,,,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-12-01,,,,,,,,,,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-01-01,,,,,275.4,,,,21.5,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-02-01,,,,,,,,,,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-03-01,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-04-01,,,,,271.7,,,,19.0,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-05-01,,,,,,,,,,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-06-01,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-07-01,,,,,273.3,,,,19.6,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-08-01,,,,,,,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-09-01,,,,,,,,,,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-10-01,,,,,271.0,,,,19.3,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-11-01,,,,,,,,,,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-12-01,,,,,,,,,,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-01-01,,,,,281.2,,,,19.8,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
